x,y,size,angle,response,octave,class_id,descriptor
788.0,212.0,31.0,70.4698486328125,77.0,0,-1,0010000100111001000100010001001100111101100111010100011100110001110011111110000010101011010011001110111001010000110001111011010010000100001010100100111001011110110001111010100001111101101111011010110101011100000001010011001001001010000011100100000101111101
464.0,388.0,31.0,108.25304412841797,87.0,0,-1,0010001111000101101010111000001111010100101011011110111011100111000011100111000100001010010011111111010011101001011111000000000011111001000010110011001110011101110100110011100001011000110100110111110100011100100011110010010010011000010110101101000110111010
757.0,477.0,31.0,210.75144958496094,76.0,0,-1,1101111000111101101110101011101010101011111100000001010111001111101111101001011110001100101110011010110011110110011000110101101011000111011110111110100110010000001101100100111111100010001000101101100001110111010111101111101110010000010101011010111101011011
540.0,537.0,31.0,303.851318359375,78.0,0,-1,1001110000111101101011100011000110010001111110110101000001100111011101111111010110101110000111010010101110101100010100111011100110100001101010101100100000010100001111101110100011110101001111101101101111010111000101010111001111100010110001001100111001011110
339.0,338.0,31.0,6.117260456085205,98.0,0,-1,0100000001001100100101101001110101000101001000001110010001000110101111101001001111001010000100111010010010100010001001010100101111101001111011010010101010000011001000001111010110000010111000001001010100100010110111100000000110000000011110010011100110001010
802.0,424.0,31.0,158.95013427734375,104.0,0,-1,1110111100110001111101010010000011101011011111110101101011011001111010111111000110111101111110001000111110111100110111011011111010001110110101011111110101011101100111010110001111111101100000001001111101011001000000011111111111100110111111111000101001110101
330.0,240.0,31.0,285.6484069824219,76.0,0,-1,0101101110110001101011100010010100111001000111100001100100011111001101101111110110000110101101011101111100010111010000101101001011010101100101011111110110011101100110001100100111110001000111011101101111100111111110111101010110100010000001001000111101111011
139.0,210.0,31.0,320.59088134765625,87.0,0,-1,1101001101011100001101110011110100110010100101101000111000100000111111010100001011000010011000001111111001011010100101011111010110100110011001010111110011001111111011011000010110110101011011111011000111111110010010101000001000001100001100010010001100101101
425.0,387.0,31.0,74.4771728515625,91.0,0,-1,1111000111001001011110101011110011000110000000000111111111100111001100001010001011000110100000110011010100111011001100100101001101101010111011110011001111001111011110000101111110010100111011101111110110101011110111100100100000110101101110011011001010001010
716.0,403.0,31.0,145.56777954101562,98.0,0,-1,0001101111110011000100100000011000100011100111001011111111110100101010010100000010111101111001001111110011010110100011101011011110100110011101111111111011000011110001010000100110111110111000011011000001110000010011101010101001001111000101111010101110111101
749.0,68.0,31.0,121.7366943359375,76.0,0,-1,0010001011110111010110001110001001111111100101011011011011111101010110110011100000110100011011100000110011011001011110001010010111011111110110111001001101100001111101110011101001011000101101010011111011010001000011011111111101011111000010101000101110011111
811.0,297.0,31.0,205.66476440429688,79.0,0,-1,0111110001011000100110001011111010001101011001000101011110011000100100111001111010100101000010010111011111110011011010110101101011010000111111000110110101010010000010100100001111011010001010001101001111100011011000010011100110110000011110110010111000000010
226.0,152.0,31.0,113.20418548583984,77.0,0,-1,0100100000010010011111110100010101110010010010100011100100110111001010010100110101110110111110000101100000110111100001000011010100110110000101101110111000101000100100011001100000100101010011000110011100111111011100001100000011000011100000001000011101111001
318.0,161.0,31.0,55.09352493286133,81.0,0,-1,0010110100010001101110111110111011101101100001100110111101111001110101100100000111001111010001101111000111110111001110000110000011011100111010100011101000101100100110011011001011111010100110111110000110111111100000110000100010011010111010101111000010110000
726.0,307.0,31.0,250.6402587890625,94.0,0,-1,1111110101000000010001111110010100000110000001100110111000110000011000011000001011110110010000100101001101000011100100011111111101111000111001000011110011101010111010011011010010110101100010001001011011101011111000110000000000101111101110110111000000100000
262.0,97.0,31.0,223.36024475097656,78.0,0,-1,0001000010110101011111010110100110110110110010111001011111101111000011100111000000111110101000011001011100011101000000000000000000101111000100110101001101100001010100111011100100111001001111110110100111000101001001010111010101110101100010101100011101111011
801.0,168.0,31.0,136.98046875,85.0,0,-1,0000011100001011001011101001101111101011101101010011100011000010111011010101010001001100100001011010110011011010001101110111111010100110001010111111001111000111100101101000100100100110111100011000011000011001010010101100001110010110000101110010101111000111
84.0,97.0,31.0,216.7047119140625,88.0,0,-1,0100010010110011111110110110000011110010111010000110101101010011001100101000110101111111111010000001010111100111110000000011000000110110101111110100010010011000100100111001101010101100010000001111110110100101001001011110110011100000111000101010011110110001
