x,y,size,angle,response,octave,class_id,descriptor
214,366,70.0,316.9835205078125,102.0,0,-1,1100111001111110010110100100110100001101001100001010000100000110100011001010100000100111011000001101010100000110001110110111100111110000110000110011110010101110100011001011100000000011100000010010000110101011011110011111011100000011111100101011101000011000
409,497,70.0,267.9464111328125,102.0,0,-1,1101110010110111010100111101101001110001001001000001110111101001110011100001100011000110001100101101001101111110110100111100111111110100001110000001000100001011011010111000101001011100011000011111110010111011010010100100110111111000111000101011001101100010
272,360,70.0,232.68443298339844,103.0,0,-1,0000110001111111000000000010110001011101010110000000101010100101010001011111011000100001011000100110010100110000001111100111010111110010110010101011010000001010011001110001101000001111000000001000100011010000010110011111000110101111110001110110100000000100
120,224,70.0,205.88694763183594,103.0,0,-1,0000000010111111000000000011110001111011000100000101110010011000111000111110110000000000110010011101000100111010010110110000010110000100001011010001000000000000001001100001111000100111001000001011111001011000010100001011100000101011010011110110010110100111
435,451,70.0,76.29010772705078,102.0,0,-1,1000010001100110011101001110110110001011011000100010011111010101111011001011010010100100011001001000001100011011001100111100111011101010000000101000000110011110111111000011001100000011000001100100010111100110100111000101110110110100100100101010000110111000
344,121,70.0,160.29766845703125,104.0,0,-1,0110010011010101001001110001000001010101101010011111000010100011010100111001011100010101111110011100111100110111010010100111000111110010011101001010001001110000010100110001101001010100101100101011100111110000110000111011100111011010011010111001101110011011
442,240,70.0,50.438682556152344,102.0,0,-1,0011101001011101100001101110101010000011011101010001011111001101111000001110101000100101001010111110000000010101010100011000011011100000001000010011100111011000110010000010111010011101000001011001100011101010000110010101011001101000011100111010110001010101
464,291,70.0,189.05491638183594,102.0,0,-1,1110011011111100101001010000011001011011010101000100001000110101110000001011001000000011001011111000111010011011101110010101111000101010001010101100001001101100000011011110101000100010000111101000100011010100101001011011001001010101001001010000011111010101
206,100,70.0,38.985740661621094,102.0,0,-1,1101001001000001001000000100001000001111000110010001101110000000111100011010001111111101100010001101100010100111000101111101001111110100001011001111111111101000111001010110100000011010000010011001100010001010011100011010011101101001101101111110101000010000
438,238,70.0,81.96778869628906,102.0,0,-1,0011000101100111000010100011100011010100100110000010011011001001111011101111000000010100100101101101000000111101001001010111010010001001110011010010010010011001010000100100010111111001001000000101000111010100001110011001010001111000000110111100010101101110
405,495,70.0,274.7447204589844,102.0,0,-1,0101110010111010110101111000111000101011011111000001010101101010010010100100110111011010110000000101011101101100100100001100001110110100111011001001110100010111010000111011101001001100110010011111101000101011010010100110100110110000110110101111000000110010
343,196,70.0,344.1089782714844,103.0,0,-1,0011001100000000100110000101010011000100000000010001100111001111101011100011010000010101110101110101001111100000110000011000000100110111100010011001011100100000001000010010000111011101010001110101010000110010000110000010011111011000010000001100000100110110
219,238,70.0,239.70333862304688,102.0,0,-1,0011111000001011101000001011110001001101010110000101000111001101110011111111100000011001100110010101001110100101010001001011000111110000100000010011111111110000100001001000110101001101001000010001100001101000000110000011001001101010110100101110110010010111
411,493,70.0,255.2355499267578,102.0,0,-1,1111110000010101000100101101110001011101001000000101110000101111110011111001101001000111110100111110001100111001111000111001111111110010101110010001001100001101001001011001110001010111010100001001110000111000011110001000110011111001011000100001010110000011
302,127,70.0,46.494083404541016,103.0,0,-1,0000000001101000010110101001110101010101001100001111001101010110110011001110001001000011000000010101000101001111010110001011100111111001100100010011111000100000000000101010000100010001011101000010010101100011100010111011000101100010000100111111010101011101
384,295,70.0,195.77427673339844,103.0,0,-1,0000001000100011111110011011100001101111011010000001010111100010010110000000101101000110000000100000001101101100110111101110100111110110001101000011010111100110000111111101000000001100111010011001101000111011110110100110010010111110010010001011110101000000
384,106,70.0,310.47479248046875,103.0,0,-1,1000000100111011110100011011110011011001000000010001110010010000110010001110101000000000010001010101000100111010110110101000011110000110000000011011010000100100000011111001010000100111011011011111111001001101001110011100001110101010010111100010010110110011
191,348,70.0,33.609222412109375,102.0,0,-1,0101001001101101100010100110000110000010001001010011110000101000101000100110101010100010111111110110110001010011101010111010110001100111001001011111010000001001110011110000101000011100110001001001000011000001011000010000111101000011011101100101001111011110
156,232,70.0,67.07150268554688,103.0,0,-1,1000100000000000101001110110101010001010010101010101111011001000011110110010010111110000100011101001110010011010011111000100011000001101110011000100111101011101011110000110111100111001001011110101111010000010001101001000001001000000000001000001110001101110
508,192,70.0,114.76683807373047,102.0,0,-1,1000001001101001101000110011101001001101101010001001110110000010001100010000101111101111010000101101010001101110010111100010000110110110001101010110111111100010000110110111011000010110101010011011101110011011011010110100011011001000110101000011111000000000
366,388,70.0,258.3577575683594,102.0,0,-1,0000000000111011011101010011100000111101101010100111010010001001011010000110011101001000010010000100011000111111001111100001010110101100110001000010110011011000001101100101100001110001001010101011010000000011110110000001000011111010110010110111110100001011
450,143,70.0,173.33636474609375,103.0,0,-1,1100001101001100100010000110010110000011000101110000000101000100100011111011001000100100111010011011000000010011010100101000011000101011000000011011011100100100000011001010001010100001010101010000001001100000110111011111001100001100000111001110000011010011
117,393,70.0,322.6352233886719,102.0,0,-1,1010101000001000100100001000110001011111000100101111001101111110110111001010101000001011100000011111000101001101110000011111100111111010101100001001011100100100110011001110000000000000011111100110101111101100100110101010001001100110000101101010010100011100
313,370,70.0,325.9757995605469,103.0,0,-1,0011110000001001100100000000110001001111010110001101000100001110110011011110101000101001110010100111000110000101000100001011100111011010110010000001011000100001001001001001010000001111001100000000101111111100110110110011000101101110110100111110100010000000
407,491,70.0,261.94757080078125,102.0,0,-1,1111111010111101000101111001101000010111001000000101110000101011100111101101110101000111111110101001111101111110111010100001110110100100101111000101101101101011000011101001110011000100110100001011000000011010010000100110111011110001110000000001010110000011
244,182,70.0,130.46368408203125,102.0,0,-1,0010100110101011111101010001010011110001001011110010010011100001000011000011011010000010000001001000100001011010111011100001010100111100110111011010010110100110000111101101001001100100111110101110001000100100110011101000000010010010100010011011010101101001
