Query Index,Train Index,Distance,Query X,Query Y,Train X,Train Y
516,37,18.0,1430,3685,878,3267
129,328,19.0,2715,1250,1062,2794
960,705,23.0,1727,2644,2123,1429
32,75,26.0,1310,1415,1129,1594
704,293,26.0,1383,3565,866,3188
447,474,28.0,1138,2657,770,2421
505,336,28.0,1992,1318,1930,1242
341,49,29.0,1585,1524,867,3188
623,441,29.0,2716,1249,1097,3123
346,137,31.0,1190,1835,1378,1532
588,733,31.0,1137,2656,771,2418
856,139,31.0,1053,2050,1378,1530
40,50,32.0,2606,1254,834,2407
194,183,32.0,1573,1730,1096,1804
358,268,32.0,1138,2657,768,2420
116,409,33.0,1160,2067,943,1420
308,574,33.0,2564,1226,2124,1429
733,817,33.0,2565,1225,2125,1428
431,67,34.0,1630,2615,888,2570
764,596,34.0,1991,1317,1930,1242
976,743,34.0,1426,3687,877,3266
1,198,35.0,917,2474,911,1404
39,799,35.0,2044,1282,1520,1344
166,82,36.0,2289,1063,1204,1362
272,412,36.0,1229,2665,2124,1428
370,257,36.0,1480,1940,1306,1546
658,532,36.0,1991,1317,1930,1243
14,540,37.0,1328,1427,834,2406
96,223,37.0,2249,1161,1250,1510
113,52,37.0,1138,2657,770,2421
246,278,37.0,2454,1061,911,1424
342,1,37.0,1385,3565,1933,1344
507,289,37.0,2716,1250,1097,3124
758,994,37.0,1819,1369,1068,1698
811,243,37.0,916,2471,798,1840
30,32,38.0,2116,1257,2586,1469
89,249,38.0,2453,1060,521,1903
201,511,38.0,1646,3436,1148,3095
206,56,38.0,2043,1195,949,1543
254,87,38.0,1430,1862,906,1948
429,270,38.0,1387,1964,1148,3094
74,401,39.0,1230,2666,2124,1427
199,375,39.0,1083,1847,1518,1574
525,77,39.0,1531,3678,1358,1706
78,104,40.0,1455,1902,655,1947
309,5,40.0,1201,2639,661,1835
329,168,40.0,1564,3672,991,3280
517,443,40.0,1391,3684,860,3262
567,175,40.0,2564,1227,1122,2828
613,180,40.0,916,2473,799,1839
717,128,40.0,1431,1860,1379,1390
743,584,40.0,1576,1721,1099,1799
810,971,40.0,1137,2655,770,2415
823,442,40.0,1386,1961,2074,1421
196,937,41.0,1333,2659,770,2419
205,925,41.0,2323,1245,1708,1397
213,780,41.0,2328,1241,1140,1420
226,157,41.0,2021,1414,778,1802
333,154,41.0,1391,3684,860,3262
381,487,41.0,1361,2496,861,2429
383,245,41.0,1490,1484,968,1562
693,569,41.0,1514,1816,1370,1495
768,83,41.0,1561,3670,1046,1749
852,213,41.0,901,2011,1126,1414
261,595,42.0,2503,1152,1521,1344
345,209,42.0,1610,3464,2641,1515
452,220,42.0,1237,1974,1060,1861
718,913,42.0,1389,3683,932,1735
742,12,42.0,2045,1279,1157,2814
107,381,43.0,2054,1436,697,1885
146,150,43.0,1284,1455,1221,3123
232,25,43.0,1531,1819,1159,1910
317,454,43.0,1542,1680,932,1738
353,287,43.0,1284,1457,1222,3122
365,423,43.0,1516,1813,2033,1416
817,816,43.0,1391,3683,933,1737
940,162,43.0,2245,1162,1155,2003
956,739,43.0,1390,3680,861,3260
136,185,44.0,1391,1435,845,2430
292,426,44.0,2519,1162,910,1427
312,541,44.0,1213,1918,1045,1405
344,794,44.0,1723,2647,1369,1495
105,480,45.0,1689,1398,655,1947
423,905,45.0,1655,1886,1302,1544
741,453,45.0,1454,1904,1385,1450
898,282,45.0,1138,2655,1390,1447
121,144,46.0,1166,2059,969,1895
175,982,46.0,1634,1897,907,1939
540,840,46.0,2893,1200,1122,3158
948,593,46.0,1541,1673,1068,1756
152,914,47.0,1501,1603,964,1562
220,331,47.0,2464,1055,1477,1698
286,360,47.0,2249,1162,1174,1937
474,450,47.0,1284,1456,1221,3122
491,878,47.0,1574,1827,1525,1361
504,875,47.0,2236,1182,1331,3076
548,127,47.0,1633,1898,728,2046
666,478,47.0,1490,1483,968,1562
868,84,47.0,1237,1973,729,1755
92,171,48.0,1220,1913,1018,1544
108,14,48.0,1515,1814,2034,1415
109,932,48.0,2244,1190,979,1732
339,210,48.0,1471,2611,661,1858
393,202,48.0,1535,2645,1106,2466
403,18,48.0,1840,1382,879,2484
647,923,48.0,2893,1199,2030,1415
652,975,48.0,1840,1400,939,1415
149,535,49.0,2893,1199,1123,3158
150,860,49.0,1678,1883,1140,1418
168,148,49.0,1406,1395,1106,1796
207,927,49.0,1649,1764,1027,2837
446,693,49.0,1580,1722,1103,1796
475,947,49.0,1820,1369,1069,1699
496,962,49.0,1228,2665,806,1888
606,276,49.0,1296,2673,1045,1862
737,320,49.0,1329,1429,1019,2027
814,847,49.0,2605,1252,2160,1463
1006,662,49.0,1870,1433,1196,2449
90,755,50.0,2236,1183,1194,2449
162,921,50.0,1446,2052,1132,3162
294,407,50.0,2358,1228,2444,1403
330,829,50.0,1477,1354,1931,1249
399,792,50.0,1445,2052,1128,3162
617,112,50.0,2504,1153,2069,1431
738,261,50.0,2542,1217,1162,1909
746,915,50.0,2242,1190,2520,1457
877,922,50.0,2604,1251,2162,1463
73,73,51.0,2371,1145,1196,2449
75,499,51.0,1360,2496,1195,2449
123,589,51.0,1350,2716,886,1467
547,899,51.0,1840,1400,941,1415
568,704,51.0,2462,1056,1369,1495
608,99,51.0,1782,3428,907,1519
646,931,51.0,2136,1249,875,3267
932,742,51.0,1780,3428,776,1827
1004,313,51.0,1688,1394,1186,1544
44,466,52.0,1441,1836,968,1895
124,184,52.0,1730,1389,727,1966
245,380,52.0,1294,1452,1214,3118
327,920,52.0,1373,2640,1099,3123
388,322,52.0,2256,1153,1067,1697
408,507,52.0,1293,1452,1214,3118
445,582,52.0,1470,2611,2585,1469
581,396,52.0,2115,1258,797,1915
654,216,52.0,1749,2960,1090,1355
715,455,52.0,1190,1835,779,1803
727,26,52.0,1207,1914,900,1443
828,554,52.0,1580,1831,1048,1951
962,803,52.0,1573,1720,906,1943
21,221,53.0,1610,3465,2117,1443
29,639,53.0,1751,2961,1251,1510
82,218,53.0,2604,1296,1656,1402
173,631,53.0,1576,1727,883,1937
242,383,53.0,1313,2010,800,1841
573,670,53.0,1410,2182,1559,1337
576,258,53.0,1674,1866,1188,1931
615,656,53.0,1471,2609,1158,1908
710,1010,53.0,1655,1883,724,1906
888,776,53.0,1577,1836,1047,1949
982,916,53.0,1860,3418,1332,3076
0,722,54.0,1298,2673,858,2424
86,494,54.0,1801,3434,732,1786
271,747,54.0,1402,1951,724,1908
488,953,54.0,1456,1845,726,1908
510,62,54.0,1781,3429,1370,1495
572,544,54.0,1818,1370,2667,1416
212,374,55.0,2958,1195,2530,1452
248,663,55.0,2891,1199,1123,3157
249,717,55.0,1115,1986,1931,1342
372,215,55.0,1493,1303,1956,1400
684,841,55.0,1580,1831,1953,1401
782,48,55.0,1530,3676,974,3279
885,865,55.0,1284,1457,1222,3120
970,200,55.0,1208,1913,1210,1492
18,78,56.0,1373,2640,1022,2499
54,901,56.0,2284,1228,1932,1341
238,204,56.0,2352,1142,1078,1672
453,377,56.0,1405,1997,1218,1550
515,571,56.0,1801,3434,731,1785
556,227,56.0,1324,1934,1276,1555
675,660,56.0,1642,3523,1222,3121
750,876,56.0,1642,3523,1070,3180
816,410,56.0,1548,1704,1073,1776
905,945,56.0,1332,1430,926,1421
991,1020,56.0,1559,1566,2530,1451
106,122,57.0,1514,1817,2445,1404
122,86,57.0,1443,2055,1249,1596
314,575,57.0,1579,1722,1104,1795
520,125,57.0,1614,3463,640,1888
857,1014,57.0,2386,1239,1071,3178
862,834,57.0,1224,2663,871,2421
240,488,58.0,1410,2182,1558,1339
641,98,58.0,2462,1127,1004,1496
865,926,58.0,1028,1926,1194,2451
132,61,59.0,1340,2099,1559,1339
144,877,59.0,1241,2821,1279,3076
714,310,59.0,2113,1259,1946,1334
726,534,59.0,1570,1831,1041,1945
897,163,59.0,2389,1239,1421,1470
964,219,59.0,1329,1430,973,1466
147,140,60.0,1412,3071,879,2865
148,224,60.0,2424,1078,985,1918
160,399,60.0,1123,1914,968,1481
564,538,60.0,1614,1490,870,2619
786,759,60.0,1207,1914,2161,1464
955,434,60.0,2110,1258,660,1855
997,864,60.0,1290,1444,896,1438
204,342,61.0,1622,3515,1013,2083
979,552,61.0,2290,1068,1094,1349
177,8,62.0,2256,1153,690,1810
487,501,62.0,1686,1824,1477,1590
748,603,62.0,1292,1449,1282,1564
961,288,62.0,2508,1154,2069,1430
145,525,63.0,1469,1984,798,1839
497,782,63.0,1637,1850,1016,1543
630,998,63.0,1331,2011,1050,2505
642,822,63.0,1310,2003,1058,3173
873,395,63.0,1514,1815,1402,1633
887,296,63.0,1583,1523,644,1837
904,207,63.0,1144,1917,1523,1575
181,503,64.0,1896,1355,825,2300
273,337,64.0,1288,2000,828,1848
378,228,64.0,2978,1194,2605,1502
591,265,64.0,1329,1448,932,1884
941,788,64.0,1872,1406,659,1854
230,542,65.0,1313,1927,652,1852
454,231,65.0,1345,2700,732,1786
198,291,66.0,1619,1490,870,2618
404,4,66.0,1675,1866,1097,1626
755,149,66.0,1574,1829,806,1896
142,378,67.0,1412,2178,1548,1339
217,645,67.0,1314,1999,1391,1446
391,178,67.0,1189,1918,769,2004
892,191,67.0,1296,1998,1353,1504
977,389,67.0,1154,2096,1040,1945
754,824,68.0,1219,1914,883,1936
762,439,68.0,1329,1447,930,1884
2,390,69.0,1292,1998,788,1838
340,725,69.0,2543,1217,1478,1696
420,120,69.0,2013,1404,1523,1567
671,39,69.0,1469,1984,936,1883
815,254,69.0,2366,1142,689,1810
348,690,71.0,1442,2555,1068,1698
267,431,72.0,2012,1404,1283,1564
886,362,73.0,2365,1144,890,1937
228,33,74.0,1085,2099,932,1884
319,95,75.0,1027,1936,1938,1336
680,338,75.0,2123,1261,916,1872
688,167,76.0,1315,2009,651,1838
899,509,76.0,1615,1487,2670,1529
