Query Index,Train Index,Distance,Query X,Query Y,Train X,Train Y
117,418,15.0,473,529,1132,928
136,487,22.0,457,383,1090,582
258,471,23.0,472,530,1132,929
19,387,27.0,472,529,1132,929
217,511,29.0,544,454,1297,749
224,513,29.0,593,497,1419,849
264,523,31.0,285,202,645,122
263,520,33.0,456,383,1089,580
22,428,34.0,610,267,1481,271
113,484,34.0,544,452,1296,746
173,482,34.0,546,368,1305,540
54,407,35.0,543,453,1296,746
151,476,35.0,611,268,1481,272
120,490,36.0,338,338,797,478
268,512,36.0,546,369,1304,541
126,483,37.0,716,403,1741,615
154,153,40.0,595,496,234,1021
237,510,40.0,580,346,1394,477
225,500,42.0,537,523,1279,910
131,514,47.0,359,257,835,269
139,451,49.0,59,322,154,445
238,504,49.0,750,482,129,448
331,522,51.0,743,475,1802,788
222,281,53.0,631,228,102,380
114,488,55.0,337,364,1397,478
441,480,55.0,824,214,1520,1126
462,272,55.0,758,352,746,288
216,118,56.0,791,184,221,254
434,492,56.0,759,351,848,976
72,395,57.0,475,387,1134,593
312,192,57.0,121,164,1956,709
478,120,57.0,830,439,787,1102
163,469,58.0,751,482,128,451
25,273,59.0,698,447,1223,973
96,81,59.0,756,477,1441,232
167,413,59.0,887,486,291,933
132,74,60.0,745,202,553,134
144,243,60.0,806,205,82,1204
279,193,60.0,465,387,1766,670
322,285,60.0,358,257,1875,448
6,225,61.0,487,306,1459,886
30,293,61.0,753,276,1222,973
31,282,62.0,799,440,114,405
91,233,62.0,73,62,72,333
98,84,62.0,781,173,470,47
194,458,62.0,744,475,1804,788
214,91,62.0,582,370,1799,652
228,143,62.0,634,507,800,1102
456,401,62.0,546,346,635,890
513,146,62.0,756,355,1798,646
125,322,63.0,811,296,1923,92
142,349,63.0,541,538,123,1030
326,9,63.0,607,513,103,1166
342,219,63.0,757,181,1872,92
471,288,63.0,687,361,71,332
4,470,64.0,767,223,290,935
99,189,64.0,594,252,214,245
148,117,64.0,576,353,1681,1142
287,390,64.0,922,243,158,454
397,355,64.0,759,353,452,160
18,63,65.0,726,307,1951,679
43,473,65.0,916,247,1887,758
68,491,65.0,498,375,475,1191
102,427,65.0,546,521,1304,903
