Query Index,Train Index,Distance,Query X,Query Y,Train X,Train Y,Query Descriptor,Train Descriptor,Query Image ID,Train Image ID
1081,73,9.0,505,505,493,334,0110001001111000110001101110100000100100011010100000010101110001010110000010111110111011110010101001110110111000011010000110011101100010011111010101011101010100110010011101101100101101100111010001000001111000110001000100101011011110111010001101110010000010,0110001001111001110001101100100000100100011010100000010101110000010110000010111010111011110010101001110110111010011010000010011101101010011111010101011101010100110011011101101100101101100111010001000001111000110001000100001011011110111010001101110010000010,aruco_000,aruco_005
1091,58,12.0,505,422,469,292,0000100000101001001110010101110001010001000000100111010001010100110110110000001000100001100000100010000000101000111110010010110111110111110010110001000001100010001110101100011110000100011100100001101000010000101110101001010000101110101000010010110111100111,0000100000101001101110010101110001010001010000100011010000010100110110110000001000100001100000100010000001101000111110010011110111110111110010110001001001100010001110101000011110000101011100100101101000010000101110001001010010101110101000010010110111100111,aruco_000,aruco_005
1062,1,15.0,467,467,462,326,1101011011111110000001000111101011101000001001110011010110101001001011000001010010001010011011101000111101010010001111110110010000101000001011001100010110000100101101100001100001100001000101010010101000100111110101100101110011000100011010011001000111101010,1101101011110110100001000111101011101000001001110011010110101001001011000011010010001110011011101000111101010010001111101110011000101000001011001100010110010100000101100001100001100101000101010010111000100111110101100101110011000100010010011001000111101010,aruco_000,aruco_005
1094,29,16.0,327,505,403,386,0111001010100011011100101000111001111101100001001001101100111010010100011010100000101001001010111111010100101000011010011110000111100000101011000000001011100111111111101001110000001111011100100111100100111001111001001011111001101101001010111110100100101110,0111001010100011011100101000101001111101110001001011101100111010010100011110100001101001001010111110010100001000001010010110000111101000101011000000001011100111111111111001110000001111011100100110100100111001101001000001111001101101011010111110100100101110,aruco_000,aruco_005
1166,186,17.0,384,446,415,340,0000000100111000001110000111010010110111001101110101000100011110000110000001001011011010100011010001110001100001110100111111010000101110011101001100000001101000110100001111100011100000111111001101111100100010011000001011100100101001011110100111000111111011,0000000100111000001110000111010010110110001101110101000100011110000111000001001111011010100011010001110001100001010000111111000001100010011001001100000001100100110100001111100011100000011111001101101100100010011000101011100100101001011110101111000110111011,aruco_000,aruco_005
1234,345,17.0,197,266,268,302,1111000100110110100000011110001010000100101001001010101100010010111011010001111101100011010001000101000101111101000001110011100110000011100001011010000100001000110001010011001010001011001001100001100101001110010010111101110010100011100101010100010110010000,1111000100110110100000011110001010000100101001001110110100010010111011010001111001100011010001010101010101111101010001110011100100000011100001011010000100000000110001010011001010001011001001110001101111001101010110111101110010100011101101010100010110010001,aruco_000,aruco_005
1202,237,18.0,411,388,412,304,1111110110110010110101110001111000101100011110000010110110010001100011001010011001111001001010010001110010110001111100101001101110000001111010000111111000010111000100011110000111001011010001110000010000010001010001100011000111110101100110110000000010001111,0111110110110010010101110001110000101100011100000010110110010001100011001110011000111001001010010001110010110001101100101001101110000011110010110111111000010111001000011100000111001011010001110000010001010001000001100011000111110101100110110000001010000111,aruco_000,aruco_005
1292,385,19.0,326,387,369,326,0100011111100010101010011011111011101111101101000000110001100001111000111011101011000010001111010100111011011100110100011101011101011110111000100101000100001010111110100111111010001000101011001111110000101010011011010000100100100001110010100110111100111010,0100011111100010101010111011101011111111101000000000110001100000111000111011101011000000001111010101111011001100100100011101111111001110111100100101000100001010011110100111111010000000101011001111110000101010011011000000100100000001110110100110111100111010,aruco_000,aruco_005
1107,26,23.0,264,410,344,356,1111001111010000110100110101010001110101000111010000001110100010101000000010001010100101010011001001110110000011000001110101000010010010111101111011011000001110110011100011101010001000111001010010100010100101011000011000111000101011110111011110001101011000,1101001111010000010100110000011001010101000111010000000110100010101000000010001010100101011011001001110110001001001001110111000010011010111001111011011010001010110011100011101010001100111001010010110000100101011000011000111110100011110111011100001101011000,aruco_000,aruco_005
1074,90,24.0,309,264,324,270,1100100111111000000001000010101001011101010110010100111101101011010111000100011100110111000100101101010101111100001000010000111110000010111011011001110101100110000001011110001101100011100010000011101101110100000010111110000000110010110100111110010100000001,1110000101011000010001100000100001011101010110010100110101101011010011000100010000100111010100101101010101111110001000010000111110000010110111011001101101100110000001001110001101100011100010000011101100110100000010111110010010110010110100111110010100100001,aruco_000,aruco_005
1213,245,24.0,371,251,353,245,0111110111101011011000110101011011001011110010011100100001110011000001101001000000111111110100111010000001000100100010010010100111010110001010011000000000001100110110011111000000000110010011111000000110011001010100010111100001010101001010100010101010010110,0111100111101011011100110111011011000011110011011110100001110011000001101001001000111111110000111110000000000110100000010010100111110111001010011000000000001101111110011111000000000101010111111000000110011001010101010111100011001101001010100010101010110110,aruco_000,aruco_005
1176,234,26.0,144,438,292,405,0101010011010110000001001101011001001011011101000100010100011101101101100101111001000110110010100001111110110011001100110000111011000010110010011000001100000101100001000010101001101111100001100011010000111000010001000101001000111011101111011100000110010111,0100000011010110010101001100011001001010011100000100010100111101101101100111111001111110110010100001011110110011001100110000111011000010111010011001001100000101100001000110101101101111100011100001010001111000010001000101001010110011100011111100000110011111,aruco_000,aruco_005
1247,304,26.0,308,269,323,271,0110010111100011100100011011001110110110111111001000100001000111110100111010111010111001110111000111111010010001001001110000010100011101111010001100011100010100111110010110101001000011101101010000111001011110110011110110101100111111111010101100001000000000,0110010111100011100100111111001110110110111111001000100001000111010100111011110010111001110111000111111010010000101001110000010100011101110010001100011100010100111010011110101101000011101101111000110100001110110011000100101011111111111010001100011000010000,aruco_000,aruco_005
1159,174,27.0,164,189,228,274,1111001001000011100001101100100000001101010100100001001101010111110011101011011000010111101100011101001101011100101100001001101111100100101100010011010110110110000000001010001101011011110101000001100010101010110110111101011000110000011100101110001000010110,1111011001001011100001101100100000001101011100100001001111010111110011111001111000010011111100011100001111001100100100001001101111100100101100010011010110110110000000001010001101011111100001110001100011101010100110111111011000100100111100101110111100010110,aruco_000,aruco_005
