x,y,size,angle,response,octave,class_id
911,1427,31.0,193.94314575195312,76.0,0,-1
1933,1344,31.0,260.85845947265625,58.0,0,-1
953,1982,31.0,203.48573303222656,62.0,0,-1
901,1434,31.0,220.9877166748047,60.0,0,-1
1097,1626,31.0,214.1895751953125,66.0,0,-1
661,1835,31.0,89.8536148071289,102.0,0,-1
1103,2833,31.0,348.11993408203125,58.0,0,-1
1027,2627,31.0,144.7157745361328,69.0,0,-1
690,1810,31.0,124.8258285522461,57.0,0,-1
1130,2829,31.0,241.70675659179688,54.0,0,-1
917,1874,31.0,308.03533935546875,55.0,0,-1
521,1903,31.0,318.49664306640625,59.0,0,-1
1157,2814,31.0,128.822021484375,70.0,0,-1
807,1887,31.0,76.79631042480469,140.0,0,-1
2034,1415,31.0,134.14682006835938,74.0,0,-1
870,2618,31.0,77.82842254638672,61.0,0,-1
1142,1423,31.0,71.04649353027344,61.0,0,-1
1046,1406,31.0,124.90167999267578,50.0,0,-1
879,2484,31.0,358.3236083984375,59.0,0,-1
1199,2796,31.0,30.558643341064453,95.0,0,-1
1071,1699,31.0,173.7268829345703,71.0,0,-1
1477,1698,31.0,12.633735656738281,57.0,0,-1
651,1887,31.0,238.57321166992188,70.0,0,-1
1186,1544,31.0,268.4633483886719,86.0,0,-1
1070,2791,31.0,85.93675231933594,55.0,0,-1
1159,1910,31.0,248.19625854492188,84.0,0,-1
900,1443,31.0,208.02542114257812,67.0,0,-1
671,1853,31.0,243.54296875,49.0,0,-1
645,1837,31.0,78.99697875976562,79.0,0,-1
1306,1546,31.0,4.877903938293457,65.0,0,-1
823,1851,31.0,262.5956115722656,70.0,0,-1
697,1885,31.0,47.02719497680664,48.0,0,-1
2586,1469,31.0,141.77459716796875,70.0,0,-1
932,1884,31.0,272.659912109375,85.0,0,-1
2073,1421,31.0,82.95896911621094,98.0,0,-1
1139,2470,31.0,39.466304779052734,48.0,0,-1
1276,1555,31.0,54.68356704711914,105.0,0,-1
878,3267,31.0,130.4208984375,63.0,0,-1
1520,1344,31.0,200.18080139160156,71.0,0,-1
936,1883,31.0,271.92425537109375,65.0,0,-1
808,1850,31.0,298.718994140625,71.0,0,-1
1712,1397,31.0,343.4795837402344,73.0,0,-1
1291,1670,31.0,151.05148315429688,59.0,0,-1
1200,2789,31.0,41.24622344970703,54.0,0,-1
722,1911,31.0,140.63558959960938,71.0,0,-1
2035,1427,31.0,138.39967346191406,62.0,0,-1
549,1965,31.0,131.69248962402344,53.0,0,-1
889,1469,31.0,198.18539428710938,84.0,0,-1
974,3279,31.0,69.53074645996094,51.0,0,-1
867,3188,31.0,179.00778198242188,64.0,0,-1
834,2407,31.0,99.78544616699219,51.0,0,-1
1068,1758,31.0,72.8882827758789,110.0,0,-1
770,2421,31.0,116.19303131103516,74.0,0,-1
1265,1634,31.0,189.96571350097656,60.0,0,-1
1162,1905,31.0,251.34893798828125,96.0,0,-1
1386,1452,31.0,284.7573547363281,77.0,0,-1
949,1543,31.0,344.4794616699219,50.0,0,-1
660,1855,31.0,261.2629089355469,53.0,0,-1
1034,2495,31.0,357.2291564941406,127.0,0,-1
765,1856,31.0,50.956180572509766,54.0,0,-1
1024,1695,31.0,188.10202026367188,51.0,0,-1
1559,1339,31.0,273.1116943359375,63.0,0,-1
