x,y,size,angle,response,octave,class_id,descriptor
312.0,283.0,31.0,261.4671936035156,77.0,0,-1,1110011011111110110000000101111011001001101001000101111010111100100110111011111100100001110111010100100011101111010011010101101111000101111011110110000111011110111101100100111011011010111100100010111110011100110101010110100010011010111100111100101010010010
225.0,31.0,31.0,339.2544860839844,74.0,0,-1,0010100110111001111111101101011101000111110111001011000000100111110010111101000101110110000110100011110010111101010001100010001010101011011101111111001100000000010101111111100010010010111001010100111111111011010101000100001101001111000010001100100110001010
376.0,263.0,31.0,54.838138580322266,47.0,0,-1,1100001100100100100011101101011111100100001111100110110000000111101110001111101101000111010100001101010100110010100111010111101110000101011011100011000000101100001101011101010001110001010010001000010110111011111111110000000010001000011100001101100100001100
230.0,213.0,31.0,94.91234588623047,62.0,0,-1,1110111001001011001101011101000011111001100000011011101110000110100011101000110000110010101010110010100011001110011001010100100011001111111110111010001111010101010000100010011001010010111101100111110100010100101011111110100011010111000111011010010101111010
430.0,263.0,31.0,99.43201446533203,40.0,0,-1,1011110011100001010010101010101011011010110000110101011111111101100101110000010011101101000011110111011111010011001010100001000001011000101010000001001111101110010110100000001101011010001111111111101110000101100001010111110100111001100010101110011011010010
300.0,161.0,31.0,304.3853454589844,65.0,0,-1,0110000101011100111101010101110101101101011011011010011110101110111111100101001001101000000010001011000011110101000001011111111101001001011100100111101001001010011000010110111011110011011110110010010100111110010101000010101011011010011110010101011011101100
292.0,251.0,31.0,2.991191864013672,44.0,0,-1,0101101010011111010011101010111011010011100101101011111010110110101000001000010011011010110001110110100101101110000101111000001000101110111001111100010111000101111001001000101100010100111011110111100001100111100011101000100100101101110101101010101111011110
305.0,107.0,31.0,117.79901885986328,68.0,0,-1,0111010000111111110110000110010111111010001010111000011110111111000100101010001010111000111010001101001101100001110010010001001100010111010011100100010000111010101100000101001011001101001111101110110010000111001001011111010011100101111100001000001110101001
350.0,96.0,31.0,251.65740966796875,46.0,0,-1,0000001000011100111001111011011111000011101000001011110000000111101111011000001101010010111100111010110010111110001101001100110100100111001100111011001110000001001100001101100000000100111010000000010000100110110110101000001011100101011101001000011110001010
251.0,161.0,31.0,135.59771728515625,43.0,0,-1,0101001001101000110100101001110001101010110010000011110001000000101011110000001010100000101000101010110011000010001000011101010010100110001101011100111000000000000001000000010110000110110100111001010000110110010010100010101100000000011100000010001100000101
309.0,213.0,31.0,285.15673828125,46.0,0,-1,1100001000110110101101011001100101101011101010001011100000000011111111110101111110010010111111011000110010101000000001100101101110100111000100111110111110010001101101100110111111000111110100111001010000110010010110101111101110001100010001000010011101011111
436.0,263.0,31.0,105.39745330810547,60.0,0,-1,1001110001001110011101111100110100000110011100101110011101110000111001001000001011110010011000100111001101010000101101011110111101111010111101000010110001101010111010011010010100110101101011101001000111101011110000100001000001100101111110110111010000100100
337.0,32.0,31.0,98.72989654541016,45.0,0,-1,1000010111000111101101010010011111100100001011111110011110111001011111001110101001111011010111001101011001100001100110010010000100110101010001000110011000101110111100011111010001011101000011100110110010101010011001010100010001001000111100111100001110100001
290.0,251.0,31.0,6.407801628112793,56.0,0,-1,0100001100011111011011100011111011110010100100101011111010110110101101011000010011111010111001110110100100101110101101110101000001110110111001111000010111000101111111001000101100010100011011110110101000100111100111101000000100101101110101000010101001011100
330.0,229.0,31.0,86.33898162841797,54.0,0,-1,1000011100101010100111100101000110101000101000111011100011001010010111100011101101110010010100001100000011101000111111010010100111011101000010110111001010011101101101101111010001001111010101100000110000011110110111111100011011011101010100011000101110000110
399.0,160.0,31.0,127.34803009033203,40.0,0,-1,0011000011011100110100111110110101110100111001111100001011000110000011010000100101111010010000100011011001011001001001000100000011111011101110010000011000100000000010111011001000010001111111111010000110110100100000100000001001010101010110100111000010101001
228.0,33.0,31.0,308.09869384765625,45.0,0,-1,0010010110000000111111100101111101001101111111001110000101001000111010110001011110100111000100000101111011011001000111100011101010100001010001000111000000011110000100110110010110111011011000010100101110111010010100000100111011001011000000111110001011100010
234.0,33.0,31.0,233.02374267578125,57.0,0,-1,1010010100010110010111010110110101100100001111110100001000111000010101001010101001110011111111001101001100100000100110011011100101011101110011000100011000101110111011011111011001000101000011101000010011111011011000011001010011101100111010010101101010100001
344.0,159.0,31.0,6.508199214935303,42.0,0,-1,0011111101010100010000101010110001010101100101110100101001111000000101011100100001110001010001110101101111011011001100111001000001011000111010000001011111101110111011011001001001010000100011100011001111101111100000011000100001111011101111110111101010010010
