Query Index,Train Index,Distance,Query X,Query Y,Train X,Train Y
1435,1926,16.0,670,846,1294,1412
301,1338,17.0,479,584,964,954
1577,1941,20.0,711,836,1369,1394
137,1563,22.0,909,744,1742,1219
158,1489,22.0,370,595,751,943
178,1000,22.0,696,844,1342,1407
1423,1955,22.0,477,597,960,978
1477,1946,22.0,697,854,1340,1426
328,1484,23.0,475,599,958,979
1188,1787,23.0,660,897,1278,1484
228,1308,24.0,482,848,983,1403
78,1568,25.0,182,739,384,1172
468,1486,25.0,362,712,751,1157
503,1560,25.0,698,894,1342,1483
1152,1970,25.0,377,612,767,978
123,1328,26.0,191,853,434,1375
136,1311,26.0,437,893,907,1465
180,1210,26.0,699,894,1343,1483
974,1794,26.0,382,670,785,1087
1618,2024,26.0,714,896,1369,1483
151,1288,27.0,423,894,883,1467
489,1490,28.0,377,612,767,979
524,1579,28.0,800,516,1572,817
593,1855,28.0,186,863,1323,1415
929,1846,28.0,393,619,800,994
1148,1880,28.0,361,719,749,1168
1541,1967,28.0,477,608,964,996
32,1302,29.0,383,855,805,1401
557,1053,29.0,695,844,436,1382
665,1479,29.0,476,608,960,997
857,927,29.0,680,881,413,1427
975,1649,29.0,361,719,751,1170
1191,1842,29.0,477,608,961,997
552,1696,30.0,829,419,1647,605
907,1474,30.0,608,351,1209,448
909,1646,30.0,376,621,769,995
912,1861,30.0,828,418,1642,606
1272,1965,30.0,377,620,767,996
1552,2004,30.0,361,713,749,1157
156,1377,31.0,808,746,1552,1237
308,1271,31.0,695,803,1343,1343
322,1149,31.0,343,812,726,1327
412,1583,31.0,494,597,993,979
470,1529,31.0,494,562,993,914
488,1555,31.0,437,892,906,1464
548,874,31.0,668,845,1290,1410
587,1627,31.0,370,595,751,943
663,1491,31.0,690,893,1325,1481
1077,1786,31.0,422,452,842,672
490,1523,32.0,476,564,958,914
568,1552,32.0,343,812,726,1327
650,1438,32.0,692,836,1335,1396
739,1730,32.0,493,596,993,978
872,1571,32.0,706,899,1354,1489
1213,2017,32.0,492,562,993,917
1215,2003,32.0,828,416,1641,606
487,1239,33.0,660,892,1275,1481
516,1754,33.0,908,744,1744,1217
517,998,33.0,690,866,429,1408
544,1473,33.0,684,898,1315,1489
561,1611,33.0,391,596,796,951
567,1625,33.0,391,589,985,938
687,558,33.0,956,625,964,955
851,1427,33.0,714,900,1371,1489
866,1556,33.0,661,897,1275,1489
930,1739,33.0,490,582,985,953
973,1553,33.0,706,894,1354,1483
994,1782,33.0,390,596,794,950
1170,1621,33.0,660,892,1277,1481
1433,2009,33.0,659,834,1279,1394
1679,1826,33.0,844,473,1356,293
93,1396,34.0,432,393,856,552
143,1214,34.0,675,893,1301,1483
245,1417,34.0,196,777,425,1242
265,1309,34.0,477,848,975,1403
353,1172,34.0,476,564,959,914
919,1511,34.0,660,891,1275,1481
1230,1995,34.0,375,632,767,1018
11,1234,35.0,830,419,1649,608
31,517,35.0,680,882,414,1428
309,1468,35.0,191,760,411,1211
329,1638,35.0,187,873,1329,1438
338,1244,35.0,711,801,1372,1337
341,956,35.0,706,874,1356,1452
449,1098,35.0,492,898,1002,1479
586,1469,35.0,660,886,1275,1470
850,1681,35.0,361,711,751,1157
855,1796,35.0,376,634,767,1018
932,1661,35.0,710,801,1371,1336
1485,1978,35.0,693,842,1337,1401
83,1313,36.0,393,854,824,1401
118,943,36.0,660,892,1274,1480
146,1201,36.0,476,607,961,995
315,1500,36.0,422,453,840,674
330,1391,36.0,392,597,796,952
574,1111,36.0,756,646,1210,1106
843,1339,36.0,701,867,444,1408
1193,1808,36.0,658,831,1278,1391
28,1437,37.0,657,797,1275,1337
127,1028,37.0,696,852,1342,1417
145,1231,37.0,705,893,1353,1481
419,1268,37.0,481,897,983,1477
584,1496,37.0,383,670,786,1089
636,1436,37.0,710,800,1371,1337
743,1461,37.0,409,853,854,1402
745,1671,37.0,191,761,411,1212
772,1488,37.0,397,854,832,1402
854,1702,37.0,694,842,1339,1403
926,1777,37.0,382,596,776,950
1173,1893,37.0,693,842,1338,1403
1584,2036,37.0,798,759,1534,1261
224,1363,38.0,582,542,1210,1106
236,1336,38.0,381,598,774,954
287,1517,38.0,197,619,384,943
597,568,38.0,706,874,449,1417
620,887,38.0,685,851,423,1391
629,1307,38.0,700,859,1346,1431
888,1883,38.0,475,598,959,976
962,1899,38.0,377,459,749,672
1110,1821,38.0,374,408,738,558
1448,1959,38.0,869,767,1663,1265
50,1054,39.0,665,822,1280,1375
56,1280,39.0,380,903,805,1477
81,1320,39.0,397,854,831,1403
237,1136,39.0,684,898,1317,1490
604,1675,39.0,412,451,821,664
841,1699,39.0,408,662,836,1080
1097,1912,39.0,444,393,881,558
1194,1969,39.0,392,608,799,978
1202,1985,39.0,394,577,799,917
1291,2029,39.0,382,594,778,950
1461,1974,39.0,809,749,1552,1240
1636,2010,39.0,662,893,1276,1483
42,1190,40.0,476,609,961,1001
122,1316,40.0,410,853,855,1401
157,1356,40.0,706,900,1353,1491
334,710,40.0,693,836,434,1374
500,1640,40.0,376,634,769,1018
639,1751,40.0,422,452,841,672
737,1596,40.0,413,661,844,1078
774,1750,40.0,295,601,692,933
860,1802,40.0,176,861,400,1385
942,1274,40.0,696,851,437,1393
969,1664,40.0,343,812,727,1326
1266,1834,40.0,689,866,1332,1439
1330,1860,40.0,793,705,1532,1168
150,940,41.0,716,900,1372,1489
215,1347,41.0,660,899,1275,1491
234,1350,41.0,750,703,1450,1172
293,922,41.0,699,859,1346,1430
316,1401,41.0,398,453,792,666
729,1823,41.0,348,445,684,630
770,1492,41.0,510,895,1033,1476
933,1814,41.0,269,603,543,932
968,1225,41.0,690,865,429,1408
1055,1748,41.0,521,893,1053,1473
1084,1743,41.0,795,706,1533,1170
1144,1854,41.0,695,852,1341,1418
1255,1966,41.0,392,619,799,996
139,912,42.0,542,893,1034,1477
190,1687,42.0,375,408,737,557
225,1250,42.0,658,831,1275,1389
303,844,42.0,703,866,1352,1440
354,1270,42.0,476,897,975,1477
543,1620,42.0,382,598,774,951
589,1524,42.0,490,582,966,939
630,1353,42.0,695,900,1334,1491
861,1561,42.0,694,900,1333,1491
878,1387,42.0,685,851,1321,1418
890,1725,42.0,658,824,1277,1376
1715,949,42.0,677,654,1309,1467
61,1404,43.0,463,387,921,552
74,997,43.0,716,888,1372,1472
192,1535,43.0,354,444,697,630
254,1242,43.0,432,645,880,1054
302,1037,43.0,690,866,1322,1418
346,1440,43.0,226,476,417,651
347,1527,43.0,197,762,423,1215
352,1570,43.0,385,439,761,632
497,1645,43.0,394,619,801,995
549,1672,43.0,348,462,687,664
649,1700,43.0,257,482,485,672
735,1847,43.0,182,732,385,1159
766,1922,43.0,419,400,827,558
900,1658,43.0,603,298,1277,1468
948,1179,43.0,698,858,441,1400
963,1871,43.0,600,312,591,624
972,1882,43.0,393,609,800,976
1160,1996,43.0,382,669,785,1086
1238,1715,43.0,710,826,1371,1376
