x,y,size,angle,response,octave,class_id
580.0,479.0,31.0,126.18390655517578,75.0,0,-1
553.0,856.0,31.0,333.9091491699219,79.0,0,-1
870.0,582.0,31.0,141.96810913085938,92.0,0,-1
812.0,646.0,31.0,37.64251708984375,74.0,0,-1
412.0,451.0,31.0,204.76901245117188,89.0,0,-1
795.0,706.0,31.0,91.94633483886719,80.0,0,-1
600.0,329.0,31.0,25.235498428344727,73.0,0,-1
174.0,819.0,31.0,176.59417724609375,84.0,0,-1
228.0,611.0,31.0,110.11412048339844,85.0,0,-1
1019.0,762.0,31.0,5.173910140991211,70.0,0,-1
311.0,600.0,31.0,112.98429107666016,68.0,0,-1
830.0,419.0,31.0,128.88201904296875,108.0,0,-1
683.0,585.0,31.0,347.1759338378906,70.0,0,-1
816.0,616.0,31.0,272.79925537109375,81.0,0,-1
662.0,588.0,31.0,215.0923309326172,86.0,0,-1
713.0,730.0,31.0,24.422874450683594,73.0,0,-1
688.0,585.0,31.0,2.466390371322632,67.0,0,-1
728.0,610.0,31.0,183.28793334960938,82.0,0,-1
827.0,763.0,31.0,3.597527027130127,77.0,0,-1
670.0,582.0,31.0,256.9335021972656,74.0,0,-1
719.0,904.0,31.0,239.76837158203125,74.0,0,-1
985.0,549.0,31.0,90.23851776123047,79.0,0,-1
394.0,610.0,31.0,23.20079803466797,77.0,0,-1
1057.0,879.0,31.0,72.08281707763672,78.0,0,-1
956.0,625.0,31.0,306.5295715332031,66.0,0,-1
1045.0,798.0,31.0,303.6369934082031,85.0,0,-1
600.0,382.0,31.0,337.906982421875,75.0,0,-1
791.0,596.0,31.0,334.92547607421875,99.0,0,-1
657.0,797.0,31.0,29.91582489013672,127.0,0,-1
608.0,732.0,31.0,340.43988037109375,77.0,0,-1
688.0,596.0,31.0,69.47936248779297,82.0,0,-1
680.0,882.0,31.0,139.15867614746094,108.0,0,-1
383.0,855.0,31.0,221.32704162597656,74.0,0,-1
306.0,450.0,31.0,252.1016845703125,66.0,0,-1
180.0,883.0,31.0,137.69769287109375,115.0,0,-1
679.0,596.0,31.0,53.832969665527344,93.0,0,-1
1008.0,539.0,31.0,80.07030487060547,80.0,0,-1
672.0,596.0,31.0,73.32328796386719,85.0,0,-1
294.0,456.0,31.0,256.20556640625,71.0,0,-1
616.0,883.0,31.0,179.2675018310547,91.0,0,-1
348.0,462.0,31.0,337.01922607421875,79.0,0,-1
612.0,796.0,31.0,256.10247802734375,70.0,0,-1
476.0,609.0,31.0,116.70104217529297,105.0,0,-1
239.0,473.0,31.0,84.3162612915039,80.0,0,-1
880.0,385.0,31.0,333.5116271972656,76.0,0,-1
214.0,473.0,31.0,11.610774040222168,75.0,0,-1
599.0,926.0,31.0,192.66806030273438,90.0,0,-1
189.0,682.0,31.0,148.6578369140625,69.0,0,-1
1025.0,655.0,31.0,186.344482421875,85.0,0,-1
557.0,822.0,31.0,20.189922332763672,67.0,0,-1
665.0,822.0,31.0,12.225516319274902,66.0,0,-1
257.0,483.0,31.0,271.4230041503906,71.0,0,-1
977.0,628.0,31.0,114.7921142578125,67.0,0,-1
898.0,597.0,31.0,51.70003890991211,86.0,0,-1
608.0,322.0,31.0,194.2870635986328,86.0,0,-1
849.0,482.0,31.0,268.83984375,66.0,0,-1
380.0,903.0,31.0,120.13993835449219,66.0,0,-1
1005.0,681.0,31.0,333.1567077636719,73.0,0,-1
1038.0,735.0,31.0,127.50209045410156,88.0,0,-1
1012.0,608.0,31.0,47.17951583862305,78.0,0,-1
627.0,925.0,31.0,341.7713928222656,79.0,0,-1
463.0,387.0,31.0,233.67825317382812,75.0,0,-1
483.0,518.0,31.0,129.5345001220703,77.0,0,-1
607.0,655.0,31.0,68.10873413085938,78.0,0,-1
713.0,834.0,31.0,172.4049530029297,110.0,0,-1
762.0,472.0,31.0,313.6224365234375,94.0,0,-1
825.0,600.0,31.0,285.2994079589844,76.0,0,-1
601.0,388.0,31.0,314.1321716308594,77.0,0,-1
1149.0,686.0,31.0,131.3709716796875,91.0,0,-1
925.0,600.0,31.0,26.78118324279785,94.0,0,-1
605.0,793.0,31.0,322.7712707519531,76.0,0,-1
729.0,580.0,31.0,51.6464958190918,70.0,0,-1
353.0,589.0,31.0,141.0700225830078,86.0,0,-1
396.0,433.0,31.0,260.57257080078125,82.0,0,-1
716.0,888.0,31.0,191.63272094726562,109.0,0,-1
599.0,245.0,31.0,22.092870712280273,74.0,0,-1
371.0,580.0,31.0,278.6518859863281,96.0,0,-1
391.0,589.0,31.0,16.560056686401367,85.0,0,-1
182.0,739.0,31.0,195.89840698242188,95.0,0,-1
822.0,595.0,31.0,290.65106201171875,74.0,0,-1
607.0,679.0,31.0,25.913043975830078,75.0,0,-1
397.0,854.0,31.0,282.0104064941406,86.0,0,-1
920.0,505.0,31.0,93.89042663574219,78.0,0,-1
393.0,854.0,31.0,279.74871826171875,70.0,0,-1
315.0,472.0,31.0,253.27883911132812,69.0,0,-1
780.0,595.0,31.0,259.8498840332031,84.0,0,-1
877.0,528.0,31.0,34.776893615722656,77.0,0,-1
610.0,391.0,31.0,262.1205139160156,84.0,0,-1
301.0,422.0,31.0,110.21562194824219,71.0,0,-1
338.0,448.0,31.0,92.90052032470703,74.0,0,-1
630.0,921.0,31.0,357.30279541015625,86.0,0,-1
596.0,921.0,31.0,182.11404418945312,78.0,0,-1
860.0,766.0,31.0,280.0812683105469,98.0,0,-1
432.0,393.0,31.0,315.2216796875,75.0,0,-1
869.0,766.0,31.0,218.07366943359375,73.0,0,-1
841.0,569.0,31.0,108.77195739746094,75.0,0,-1
801.0,517.0,31.0,316.81884765625,93.0,0,-1
468.0,834.0,31.0,96.57270050048828,73.0,0,-1
379.0,631.0,31.0,136.81231689453125,73.0,0,-1
854.0,579.0,31.0,102.76728057861328,70.0,0,-1
256.0,434.0,31.0,235.78399658203125,106.0,0,-1
685.0,595.0,31.0,53.525596618652344,74.0,0,-1
676.0,595.0,31.0,65.4946517944336,86.0,0,-1
761.0,422.0,31.0,29.710290908813477,72.0,0,-1
1023.0,791.0,31.0,156.8399200439453,84.0,0,-1
680.0,579.0,31.0,356.55242919921875,73.0,0,-1
448.0,394.0,31.0,260.9117431640625,71.0,0,-1
611.0,742.0,31.0,106.62501525878906,73.0,0,-1
1048.0,979.0,31.0,150.7902374267578,68.0,0,-1
696.0,811.0,31.0,51.612327575683594,86.0,0,-1
683.0,823.0,31.0,344.87060546875,90.0,0,-1
600.0,313.0,31.0,325.7376403808594,100.0,0,-1
393.0,632.0,31.0,65.609619140625,78.0,0,-1
907.0,278.0,31.0,2.5896263122558594,69.0,0,-1
415.0,396.0,31.0,220.33047485351562,74.0,0,-1
614.0,853.0,31.0,179.40451049804688,68.0,0,-1
902.0,496.0,31.0,59.79317855834961,70.0,0,-1
770.0,434.0,31.0,218.12600708007812,68.0,0,-1
660.0,892.0,31.0,334.7383117675781,90.0,0,-1
669.0,892.0,31.0,284.52716064453125,84.0,0,-1
680.0,706.0,31.0,179.96200561523438,78.0,0,-1
656.0,789.0,31.0,25.4456844329834,67.0,0,-1
410.0,853.0,31.0,241.349365234375,90.0,0,-1
191.0,853.0,31.0,314.9861755371094,76.0,0,-1
1005.0,633.0,31.0,64.64273071289062,67.0,0,-1
495.0,561.0,31.0,358.58306884765625,91.0,0,-1
376.0,634.0,31.0,123.46240234375,86.0,0,-1
696.0,852.0,31.0,358.7960510253906,106.0,0,-1
439.0,852.0,31.0,281.103759765625,91.0,0,-1
425.0,852.0,31.0,258.05926513671875,84.0,0,-1
683.0,675.0,31.0,175.1808319091797,69.0,0,-1
41.0,44.0,31.0,209.6634979248047,74.0,0,-1
613.0,653.0,31.0,106.77859497070312,82.0,0,-1
491.0,578.0,31.0,9.425260543823242,75.0,0,-1
419.0,400.0,31.0,223.6712646484375,68.0,0,-1
655.0,794.0,31.0,25.90813636779785,71.0,0,-1
437.0,893.0,31.0,77.61750030517578,87.0,0,-1
909.0,744.0,31.0,84.53759002685547,80.0,0,-1
379.0,578.0,31.0,195.46871948242188,76.0,0,-1
542.0,893.0,31.0,89.95391082763672,75.0,0,-1
386.0,402.0,31.0,107.013671875,81.0,0,-1
553.0,893.0,31.0,48.01608657836914,75.0,0,-1
605.0,768.0,31.0,1.4740254878997803,75.0,0,-1
675.0,893.0,31.0,249.1763916015625,99.0,0,-1
689.0,893.0,31.0,268.4058837890625,104.0,0,-1
705.0,893.0,31.0,257.6960754394531,102.0,0,-1
476.0,607.0,31.0,119.52104187011719,83.0,0,-1
185.0,787.0,31.0,255.98838806152344,67.0,0,-1
609.0,825.0,31.0,50.74129104614258,83.0,0,-1
293.0,424.0,31.0,204.5665283203125,83.0,0,-1
716.0,900.0,31.0,231.03221130371094,107.0,0,-1
423.0,894.0,31.0,89.53089141845703,74.0,0,-1
667.0,844.0,31.0,223.56585693359375,99.0,0,-1
615.0,825.0,31.0,137.23336791992188,93.0,0,-1
1001.0,785.0,31.0,80.61378479003906,67.0,0,-1
720.0,636.0,31.0,234.79373168945312,84.0,0,-1
