x,y,size,angle,response,octave,class_id,descriptor
685.0,595.0,50.0,37.968997955322266,0.000965918181464076,0,-1,1111110101011110000011110000111111100110110000000001101000110010110100010111000010011100011000010100000011110111101101011000101111010010100001011111010101001010101001101100011011001100001100100110010101001000010110010111111000111100010011101100111011110100
615.0,825.0,50.0,107.55438232421875,0.0010704683372750878,0,-1,0001111110010000000001010000110110001010000110001001111011101001100100100100000000011110110011101111010010010010110111111011100111001001011111000100011111111011001101100011101000100011101110011000010100011001010001010100011100010111100101101010110011011010
724.0,899.0,50.0,203.19590759277344,0.0007250146009027958,0,-1,1010011010011110100001110001110010111010100000110111011101101000110100100110010001110100001011100010000110110011111001010010000100111101101011011001010010011110001001001111011011101100001111111000111100101110110110100001001111110010100111100111101011000010
182.0,890.0,50.0,107.18805694580078,0.0007956210756674409,0,-1,0110011111110101011010010001010100101000000101111000010000100110100100000011011010111000000011100100001100100111001001100101001100010110100101011101011001011101000001100011011111001000011110110101111100011011001111000010001010100110111001001000101000000010
608.0,825.0,50.0,82.33594512939453,0.0009440434514544904,0,-1,0000000101010010011111011000010011100010001011110011011111111001100000100101101110001011101011111000000100111110000001100000001100010100011101001000111110111100001111001001000000100011100100110111111110001001110000000111001010000000101100100001101101001011
371.0,580.0,50.0,108.13981628417969,0.0012202754151076078,0,-1,0101111011001101000011001001001100100010110100100100001010100010100101111011011010111110111011100110100110100011010001101000101111111111010011010011101110001011101011001101110000000001111110000111101110011001101100110110011110111101111000110000111001011010
828.0,420.0,50.0,192.717041015625,0.0014366843970492482,0,-1,0001010110001100001101011000110011111010000001100001010111011101000100000100001011001001101111111011000010111000001111110101101100010100001111111000111011111000000111111000011010011110100100011001000110011011010010000110001011110010101101100011110011001011
715.0,894.0,50.0,217.43374633789062,0.003088822355493903,0,-1,0111111000011100110001010001010110111010000010010010010001000010010100011100111001011100111010100000010111010010110011110011010100000001111110000000011000111101011001001010010010110001001110011001011100100011110110010101011101110101100010101000001011010001
700.0,894.0,50.0,271.760498046875,0.003242931794375181,0,-1,1101010100011000100001110010110000000001000100011001100000010011011110110111101100111110011101110100100010111110100000001010011000010110010110001100011111010001101000101101001000000111100000110011000001111001110100010001001001010001100000100101111011111110
680.0,579.0,50.0,38.02592086791992,0.0008381866500712931,0,-1,0111111011001100100111011000100110111000000011110110010000011100100100110011010001001100001011100110100000110011001001100000000101111110100101111000000011101011101101001111110011111101011110011000100110001011010110100111001010011011010100101000110011010000
375.0,408.0,50.0,100.83037567138672,0.0009014522656798363,0,-1,1001111111111001101011000001011010111010001111111011000100110100000011001101101010001010101001101101111010000011010001101100101111001110110101011010111111111000100001100001111111000111000110101011100110000001110010010111001011100011111101001000101101001000
478.0,607.0,50.0,114.29216003417969,0.002490447834134102,0,-1,1000101111010111111111000010011001111110000111111000000100111110000011000001011010101010001100101101011110100011011001101101111110000010000110010110111111111001010011100011010111000011100100101111101110011000100001010010001000100010111001011000001101000000
605.0,299.0,50.0,254.085205078125,0.0008496312075294554,0,-1,0101011010011000100011111001111110010100000001011001110011000011000100010101000101111110011011000000000111110000100011011011111000111101001111001001010110011010101001001001001000010110101010011000001110011011110101001001001101011001100100100101101111111010
