Query Index,Train Index,Distance,Query X,Query Y,Train X,Train Y
398,247,25.0,780,406,648,440
311,5,26.0,756,453,651,504
421,294,26.0,841,487,753,495
216,742,27.0,769,412,641,454
65,461,28.0,762,472,667,517
223,462,29.0,760,476,668,521
691,514,29.0,806,530,696,545
288,2,30.0,759,418,646,502
465,254,30.0,1054,718,641,453
574,272,30.0,756,646,659,475
864,1264,30.0,762,471,667,515
709,1027,31.0,760,476,668,521
847,1594,31.0,599,249,877,462
446,213,32.0,794,404,696,420
984,1011,32.0,985,540,963,533
986,1602,32.0,769,433,655,475
1442,2100,32.0,939,579,889,584
1769,1795,32.0,699,438,560,523
1712,1470,33.0,809,408,946,630
438,766,34.0,702,456,562,480
1081,1494,34.0,937,577,890,581
1679,1254,34.0,844,473,845,467
531,1675,35.0,604,257,722,495
838,587,35.0,667,844,509,907
1164,761,35.0,930,473,884,472
1215,903,35.0,828,416,742,429
1887,2008,35.0,836,487,745,494
103,978,36.0,761,422,636,469
132,1004,36.0,613,653,530,490
539,1721,36.0,605,341,776,470
1856,1969,36.0,851,478,764,484
117,1028,37.0,770,434,674,498
537,120,37.0,174,806,877,905
1317,1364,37.0,833,416,741,429
1533,1731,37.0,767,433,654,475
1736,2030,37.0,771,411,641,484
2025,1971,37.0,853,473,758,481
2037,2067,37.0,190,606,724,681
877,144,38.0,605,341,755,624
920,595,38.0,174,806,876,906
922,1289,38.0,756,452,636,472
1466,1624,38.0,917,506,861,506
1591,1546,38.0,811,408,717,423
1824,1952,38.0,758,457,654,505
2042,1962,38.0,856,462,726,493
239,1737,39.0,605,299,809,644
687,1512,39.0,956,625,786,496
745,489,39.0,191,761,962,534
1563,1554,39.0,834,417,738,427
1798,1099,39.0,654,901,1005,657
182,725,40.0,713,407,587,432
232,1814,40.0,832,260,535,729
364,96,40.0,877,366,1059,769
978,910,40.0,685,649,618,321
1195,1598,40.0,757,453,637,471
1695,1736,40.0,796,406,699,421
20,1342,41.0,719,904,738,435
710,1003,41.0,848,482,765,488
758,767,41.0,877,366,1061,773
1023,1587,41.0,757,435,666,514
1043,2049,41.0,611,795,778,469
1249,1692,41.0,760,423,654,503
1331,1542,41.0,795,404,699,421
1951,2073,41.0,760,430,634,451
107,363,42.0,611,742,727,390
479,251,42.0,605,299,818,450
896,1595,42.0,760,423,653,504
992,1305,42.0,600,380,712,378
1066,1215,42.0,599,330,947,631
1494,1571,42.0,701,438,560,523
1534,1735,42.0,759,433,642,485
