Query Index,Train Index,Distance,Query X,Query Y,Train X,Train Y
138,29,35.0,280,135,730,559
153,24,37.0,303,280,1335,1491
8,198,39.0,233,332,1294,1412
89,83,39.0,291,153,1316,1489
16,191,41.0,241,332,1322,1419
45,170,41.0,304,281,445,1413
20,177,42.0,243,339,1332,1439
55,101,42.0,292,154,1328,1489
23,19,44.0,288,108,395,700
40,10,46.0,305,167,428,1409
52,90,46.0,308,79,606,552
60,28,46.0,281,139,1344,1490
84,22,46.0,304,281,975,1478
105,103,46.0,324,281,1335,1490
28,133,49.0,433,292,1341,1419
33,148,49.0,284,135,425,666
41,114,49.0,371,229,812,624
72,107,52.0,305,104,858,552
145,126,52.0,286,77,774,954
68,20,57.0,244,338,656,623
164,75,57.0,371,124,390,617
61,169,58.0,233,332,737,557
9,179,59.0,241,328,1338,1403
75,152,59.0,290,252,423,1391
82,157,59.0,373,125,792,666
27,135,60.0,372,125,688,665
59,58,60.0,238,344,812,624
53,193,61.0,356,266,749,1168
178,171,61.0,306,77,408,630
161,79,62.0,433,249,551,551
95,156,64.0,367,245,1290,1410
110,109,64.0,372,228,696,560
160,163,64.0,438,292,475,552
12,118,65.0,350,280,634,551
124,190,65.0,308,78,749,941
155,143,65.0,330,129,475,552
10,165,66.0,367,246,1291,1408
195,113,69.0,430,212,532,667
198,13,69.0,419,262,689,551
205,41,72.0,369,125,438,1445
98,123,73.0,393,276,797,954
202,158,75.0,351,118,446,649
92,185,79.0,360,256,388,636
